Column1,Column2,Column3
-173,71,46.634
-173,72,63.44
-173,73,120.494
-173,74,197.907
-173,75,181.472
-173,76,139.466
-173,77,137.64
-173,78,119.898
-173,79,123.295
-173,80,158.272
-173,81,107.933
-173,82,140.274
-173,83,125.404
-173,84,112.795
-173,85,124.158
-173,86,105.906
-173,87,130.09
-173,88,134.469
-173,89,102.805
-173,90,71.848
-172,-90,264.278
-172,-89,210.85
-172,-88,166.302
-172,-87,105.695
-172,-86,75.465
-172,-85,54.746
-172,-84,33.359
-172,-83,43.053
-172,-82,42.877
-172,-81,50.915
-172,-80,55.351
-172,-79,57.425
-172,-78,61.027
-172,-77,64.302
-172,-76,56.913
-172,-75,61.822
-172,-74,63.238
-172,-73,70.168
-172,-72,62.764
-172,-71,39.398
-172,-70,31.255
-172,-69,39.063
-172,-68,47.198
-172,-67,47.501
-172,-66,50
-172,-65,52.654
-172,-64,43.865
-172,-63,50.347
-172,-62,69.523
-172,-61,100.769
-172,-60,127.86
-172,-59,140.184
-172,-58,150.286
-172,-57,157.661
-172,-56,139.789
-172,-55,55.896
-172,-54,52.938
-172,-53,75.449
-172,-52,92.31
-172,-51,102.383
-172,-50,88.597
-172,-49,77.076
-172,-48,68.582
-172,-47,72.268
-172,-46,84.77
-172,-45,80.05
-172,-44,75.516
-172,-43,93.313
-172,-42,117.206
-172,-41,98.31
-172,-40,80.396
-172,-39,73.393
-172,-38,85.019
-172,-37,93.458
-172,-36,94.766
-172,-35,98.805
-172,-34,99.018
-172,-33,107.401
-172,-32,131.839
-172,-31,150.646
-172,-30,147.653
-172,-29,141.332
-172,-28,148.14
-172,-27,163.926
-172,-26,178.582
-172,-25,170.062
-172,-24,137.862
-172,-23,150.078
-172,-22,162.852
-172,-21,169.167
-172,-20,163.291
-172,-19,170.193
-172,-18,66.535
-172,-17,68.722
-172,-16,62.866
-172,-15,53.135
-172,-14,52.018
-172,-13,63.374
-172,-12,90.89
-172,-11,114.36
-172,-10,130.849
-172,-9,133.313
-172,-8,130.197
-172,-7,136.652
-172,-6,128.297
-172,-5,121.699
-172,-4,113.978
-172,-3,114.022
-172,-2,113.854
-172,-1,115.76
-172,0,115.159
-172,1,128.098
-172,2,133.953
-172,3,136.891
-172,4,134.865
-172,5,130.256
-172,6,130.11
-172,7,134.116
-172,8,141.245
-172,9,182.844
-172,10,161.248
-172,11,168.441
-172,12,151.679
-172,13,138.784
-172,14,112.884
-172,15,103.634
-172,16,105.935
-172,17,113.197
-172,18,124.872
-172,19,135.576
-172,20,134.849
-172,21,141.324
-172,22,104.942
-172,23,85.243
-172,24,95.936
-172,25,109.166
-172,26,112.006
-172,27,112.195
-172,28,114.82
-172,29,120.415
-172,30,116.635
-172,31,99.218
-172,32,91.864
-172,33,89.255
-172,34,83.613
-172,35,93.795
-172,36,101.436
-172,37,101.956
-172,38,108.889
-172,39,115.16
-172,40,118.722
-172,41,119.406
-172,42,109.456
-172,43,94.137
-172,44,100.684
-172,45,107.408
-172,46,103.591
-172,47,86.849
-172,48,71.299
-172,49,74.544
-172,50,69.311
-172,51,60.934
-172,52,90.689
-172,53,73.709
-172,54,70.446
-172,55,85.246
-172,56,76.25
-172,57,47.557
-172,58,31.686
-172,59,51.466
-172,60,53.611
-172,61,59.202
-172,62,72.398
-172,63,57.958
-172,64,50
-172,65,50.463
-172,66,53.246
-172,67,57.298
-172,68,59.297
-172,69,51.422
-172,70,47.989
-172,71,50.046
-172,72,63.166
-172,73,128.127
-172,74,207.394
-172,75,182.675
-172,76,144.27
-172,77,138.746
-172,78,120.528
-172,79,121.626
-172,80,154.324
-172,81,101.918
-172,82,139.734
